/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/continuous-3143-both_sexes-irnt.tsv.EUR_ONLY.gz ankle_spacing_width hg19 242926 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/icd10-M16-both_sexes.tsv.EUR_ONLY.gz coxarthrosis hg19 14999/405532 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/continuous-3148-both_sexes-irnt.tsv.EUR_ONLY.gz heel_bone_mineral_density hg19 242809 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/phecode-835-both_sexes.tsv.EUR_ONLY.gz internal_derangement_knee hg19 17832/397432 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/continuous-50-both_sexes-irnt.tsv.EUR_ONLY.gz standing_height hg19 419596 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/phecode-495-both_sexes.tsv.EUR_ONLY.gz asthma hg19 31169/379656 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/categorical-3606-both_sexes-3606.tsv.EUR_ONLY.gz chest_pain_when_walking hg19 11416/53861 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/categorical-22502-both_sexes-22502.tsv.EUR_ONLY.gz cough hg19 14606/91635 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/continuous-20154-both_sexes-irnt.tsv.EUR_ONLY.gz FEV1 hg19 137532 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/continuous-FEV1FVC-both_sexes-irnt.tsv.EUR_ONLY.gz FEV1_FVC_ratio hg19 316932 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/continuous-3062-both_sexes-irnt.tsv.EUR_ONLY.gz forced_vital_capacity hg19 383471 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/categorical-22126-both_sexes-22126.tsv.EUR_ONLY.gz hayfever_allergic_rhinitis hg19 24013/82228 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/phecode-471-both_sexes.tsv.EUR_ONLY.gz nasal_polyps hg19 3666/398757 PanUKBB
/data/abattle4/lab_data/GWAS_summary_statistics/PanUKBB/phenotype_flat_files/EUR_only/continuous-3064-both_sexes-irnt.tsv.EUR_ONLY.gz peak_expiratory_flow hg19 383471 PanUKBB
